Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
P168_R765_w2.0h,post-vaccination blood sample from animal R765 at w2.w2h,US93503719_254853410613_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w0.24h,post-vaccination blood sample from animal R768 at w0.w0h,US93503719_254853410613_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R760_w0.6h,post-vaccination blood sample from animal R760 at w0.w0h,US93503719_254853410614_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R765_w0.0h,pre-vaccination blood sample from animal R765 at w0.w0h,US93503719_254853410614_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
Control.41,Control,US93503719_254853410614_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_P390_w12.0h,post-vaccination blood sample from animal P390 at w12.w12h,US93503719_254853410614_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R760_w0.0h,pre-vaccination blood sample from animal R760 at w0.w0h,US93503719_254853410614_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R765_w26.0h,post-vaccination blood sample from animal R765 at w26.w26h,US93503719_254853410614_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_P390_w0.0h,pre-vaccination blood sample from animal P390 at w0.w0h,US93503719_254853410614_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R776_w12.0h,post-vaccination blood sample from animal R776 at w12.w12h,US93503719_254853410614_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R765_w0.6h,post-vaccination blood sample from animal R765 at w0.w0h,US93503719_254853410615_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R768_w0.6h,post-vaccination blood sample from animal R768 at w0.w0h,US93503719_254853410615_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_P390_w2.0h,post-vaccination blood sample from animal P390 at w2.w2h,US93503719_254853410615_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R767_w25.0h,post-vaccination blood sample from animal R767 at w25.w25h,US93503719_254853410615_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_R767_w0.6h,post-vaccination blood sample from animal R767 at w0.w0h,US93503719_254853410615_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R760_w1.0h,post-vaccination blood sample from animal R760 at w1.w1h,US93503719_254853410615_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w24.24h,post-vaccination blood sample from animal R768 at w24.w24h,US93503719_254853410615_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_P390_w12.24h,post-vaccination blood sample from animal P390 at w12.w12h,US93503719_254853410615_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_P390_w1.0h,post-vaccination blood sample from animal P390 at w1.w1h,US93503719_254853410616_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R776_w25.0h,post-vaccination blood sample from animal R776 at w25.w25h,US93503719_254853410616_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_R765_w24.24h,post-vaccination blood sample from animal R765 at w24.w24h,US93503719_254853410616_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_R767_w26.0h,post-vaccination blood sample from animal R767 at w26.w26h,US93503719_254853410616_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_R760_w4.0h,post-vaccination blood sample from animal R760 at w4.w4h,US93503719_254853410616_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_P390_w25.0h,post-vaccination blood sample from animal P390 at w25.w25h,US93503719_254853410616_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
Control.1,Control,US93503719_254853410616_S01_GE1_107_Sep09_2_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R767_w2.0h,post-vaccination blood sample from animal R767 at w2.w2h,US93503719_254853410616_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R814_w0.24h,post-vaccination blood sample from animal R814 at w0.w0h,US93503719_254853410637_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R814,Macaca mulatta,R814,NYV-Control,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_R778_w0.0h,pre-vaccination blood sample from animal R778 at w0.w0h,US93503719_254853410637_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
Control.49,Control,US93503719_254853410637_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R763_w2.0h,post-vaccination blood sample from animal R763 at w2.w2h,US93503719_254853410637_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R763,Macaca mulatta,R763,NYV-Control,5,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-Control,GPL17463
P168_P404_w12.6h,post-vaccination blood sample from animal P404 at w12.w12h,US93503719_254853410637_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-Control,GPL17463
P168_R763_w12.6h,post-vaccination blood sample from animal R763 at w12.w12h,US93503719_254853410637_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R763,Macaca mulatta,R763,NYV-Control,5,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-Control,GPL17463
P168_R782_w0.0h,pre-vaccination blood sample from animal R782 at w0.w0h,US93503719_254853410637_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R778_w26.0h,post-vaccination blood sample from animal R778 at w26.w26h,US93503719_254853410637_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-Control,GPL17463
P168_R762_w0.6h,post-vaccination blood sample from animal R762 at w0.w0h,US93503719_254853410638_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-Control,GPL17463
P168_R782_w12.24h,post-vaccination blood sample from animal R782 at w12.w12h,US93503719_254853410638_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-Control,GPL17463
P168_R763_w0.24h,post-vaccination blood sample from animal R763 at w0.w0h,US93503719_254853410638_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R763,Macaca mulatta,R763,NYV-Control,5,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_R782_w25.0h,post-vaccination blood sample from animal R782 at w25.w25h,US93503719_254853410638_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-Control,GPL17463
P168_P404_w4.6h,post-vaccination blood sample from animal P404 at w4.w4h,US93503719_254853410638_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-Control,GPL17463
P168_R762_w5.0h,post-vaccination blood sample from animal R762 at w5.w5h,US93503719_254853410638_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-Control,GPL17463
P168_R782_w12.6h,post-vaccination blood sample from animal R782 at w12.w12h,US93503719_254853410638_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-Control,GPL17463
P168_R762_w25.0h,post-vaccination blood sample from animal R762 at w25.w25h,US93503719_254853410638_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-Control,GPL17463
P168_R762_w12.24h,post-vaccination blood sample from animal R762 at w12.w12h,US93503719_254853410639_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-Control,GPL17463
P168_R763_w12.24h,post-vaccination blood sample from animal R763 at w12.w12h,US93503719_254853410639_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R763,Macaca mulatta,R763,NYV-Control,5,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-Control,GPL17463
P168_R762_w0.24h,post-vaccination blood sample from animal R762 at w0.w0h,US93503719_254853410639_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_R778_w5.0h,post-vaccination blood sample from animal R778 at w5.w5h,US93503719_254853410639_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-Control,GPL17463
P168_R782_w1.0h,post-vaccination blood sample from animal R782 at w1.w1h,US93503719_254853410639_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-Control,GPL17463
P168_R762_w2.0h,post-vaccination blood sample from animal R762 at w2.w2h,US93503719_254853410639_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-Control,GPL17463
P168_P404_w12.24h,post-vaccination blood sample from animal P404 at w12.w12h,US93503719_254853410639_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-Control,GPL17463
P168_R778_w4.0h,post-vaccination blood sample from animal R778 at w4.w4h,US93503719_254853410639_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-Control,GPL17463
P168_R778_w25.0h,post-vaccination blood sample from animal R778 at w25.w25h,US93503719_254853410640_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-Control,GPL17463
P168_R782_w24.24h,post-vaccination blood sample from animal R782 at w24.w24h,US93503719_254853410640_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-Control,GPL17463
P168_R782_w0.6h,post-vaccination blood sample from animal R782 at w0.w0h,US93503719_254853410640_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R782,Macaca mulatta,R782,NYV-Control,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-Control,GPL17463
P168_R762_w26.0h,post-vaccination blood sample from animal R762 at w26.w26h,US93503719_254853410640_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-Control,GPL17463
Control.50,Control,US93503719_254853410640_S01_GE1_107_Sep09_2_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R778_w1.0h,post-vaccination blood sample from animal R778 at w1.w1h,US93503719_254853410640_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-Control,GPL17463
P168_P404_w1.0h,post-vaccination blood sample from animal P404 at w1.w1h,US93503719_254853410640_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-Control,GPL17463
P168_P404_w0.0h,pre-vaccination blood sample from animal P404 at w0.w0h,US93503719_254853410640_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R814_w12.6h,post-vaccination blood sample from animal R814 at w12.w12h,US93503719_254853410641_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R814,Macaca mulatta,R814,NYV-Control,2,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-Control,GPL17463
P168_R762_w12.0h,post-vaccination blood sample from animal R762 at w12.w12h,US93503719_254853410641_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R762,Macaca mulatta,R762,NYV-Control,3,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-Control,GPL17463
P168_P404_w0.24h,post-vaccination blood sample from animal P404 at w0.w0h,US93503719_254853410641_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_P404_w5.0h,post-vaccination blood sample from animal P404 at w5.w5h,US93503719_254853410641_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal P404,Macaca mulatta,P404,NYV-Control,3,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-Control,GPL17463
P168_R778_w24.24h,post-vaccination blood sample from animal R778 at w24.w24h,US93503719_254853410641_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R778,Macaca mulatta,R778,NYV-Control,1,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-Control,GPL17463
